OS,N,Tasks,Device,Kernel,Avg_Service_Time_ms,Avg_In_Node_Time_ms,Avg_Compute_Time_ms,Avg_Overhead_Time_ms,Throughput_tasks_s,Total_Time_s,Status
MacOS,10000,100,cpu_ff,vecAdd,,,,,8863.09,0.0112827,Success
MacOS,10000,100,cpu_ff,polynomial_op,,,,,6874.07,0.0145474,Success
MacOS,10000,100,cpu_ff,heavy_compute_kernel,,,,,1857.74,0.0538288,Success
MacOS,10000,100,gpu_opencl,vecAdd,0.326877,21.9604,0.342512,21.6179,969.331,0.103164,Success
MacOS,10000,100,gpu_opencl,polynomial_op,0.247454,14.876,0.252172,14.6238,1207.92,0.0827872,Success
MacOS,10000,100,gpu_opencl,heavy_compute_kernel,0.273663,15.9479,0.280232,15.6677,1180.6,0.0847029,Success
MacOS,10000,100,gpu_metal,vecAdd,0.159999,9.7638,0.149772,9.61403,1519.9,0.0657938,Success
MacOS,10000,100,gpu_metal,polynomial_op,0.169585,9.72921,0.159785,9.56943,1526.95,0.06549,Success
MacOS,10000,100,gpu_metal,heavy_compute_kernel,0.174474,10.8038,0.16634,10.6374,1529.28,0.0653903,Success
MacOS,1000000,100,cpu_ff,vecAdd,,,,,216.268,0.46239,Success
MacOS,1000000,100,cpu_ff,polynomial_op,,,,,117.126,0.853783,Success
MacOS,1000000,100,cpu_ff,heavy_compute_kernel,,,,,21.984,4.54877,Success
MacOS,1000000,100,gpu_opencl,vecAdd,0.826189,45.8061,0.849317,44.9568,677.057,0.147698,Success
MacOS,1000000,100,gpu_opencl,polynomial_op,0.753463,43.6135,0.776459,42.8371,557.214,0.179464,Success
MacOS,1000000,100,gpu_opencl,heavy_compute_kernel,0.888801,50.4397,0.912506,49.5272,617.729,0.161883,Success
MacOS,1000000,100,gpu_metal,vecAdd,0.38268,30.6502,0.251307,30.3989,990.572,0.100952,Success
MacOS,1000000,100,gpu_metal,polynomial_op,0.565718,43.4423,0.365276,43.077,886.197,0.112842,Success
MacOS,1000000,100,gpu_metal,heavy_compute_kernel,0.778564,68.5489,0.633865,67.915,714.79,0.139901,Success
MacOS,7449999,100,cpu_ff,vecAdd,,,,,31.83,3.14169,Success
MacOS,7449999,100,cpu_ff,polynomial_op,,,,,19.4732,5.13525,Success
MacOS,7449999,100,cpu_ff,heavy_compute_kernel,,,,,3.07888,32.4793,Success
MacOS,7449999,100,gpu_opencl,vecAdd,3.48571,193.999,3.64011,190.359,231.788,0.431429,Success
MacOS,7449999,100,gpu_opencl,polynomial_op,3.77048,204.779,3.88802,200.891,219.428,0.455731,Success
MacOS,7449999,100,gpu_opencl,heavy_compute_kernel,5.67127,303.829,5.80908,298.02,155.417,0.643429,Success
MacOS,7449999,100,gpu_metal,vecAdd,3.15473,223.387,1.24555,222.141,231.867,0.431282,Success
MacOS,7449999,100,gpu_metal,polynomial_op,3.13414,214.237,1.22878,213.008,238.624,0.419069,Success
MacOS,7449999,100,gpu_metal,heavy_compute_kernel,3.18558,228.217,1.7026,226.514,232.509,0.43009,Success
